truth_table,mean_certificate_size,anf_terms_degree_1,khrapchenko_product,decision_tree_leaf_count,target_NAND,lower_NAND,upper_NAND,position_NAND,target_NOR,lower_NOR,upper_NOR,position_NOR,target_AND_OR_NOT,lower_AND_OR_NOT,upper_AND_OR_NOT,position_AND_OR_NOT,exact_aon_cover_upper
13428,2.25,2,3.111111111111111,6,8.0,3.111111111111111,17.25,0.4165029469548134,8.0,3.111111111111111,17.25,0.4165029469548134,6.0,3.111111111111111,10.0,0.564516129032258,10
13429,2.1875,2,3.0625,8,8.0,3.0625,21.75,0.3177257525083612,10.0,3.0625,21.75,0.42474916387959866,8.0,3.0625,10.0,0.8558558558558559,10
13430,2.5,3,4.0,8,10.0,4.0,21.75,0.39436619718309857,12.0,4.0,21.75,0.5070422535211268,9.0,4.0,13.11111111111111,0.6585365853658537,16
13431,2.25,1,3.111111111111111,7,8.0,3.111111111111111,19.5,0.3593220338983051,11.0,3.111111111111111,19.5,0.5423728813559322,8.0,3.111111111111111,11.0,0.7464788732394366,11
13432,2.625,1,5.142857142857143,9,14.0,5.142857142857143,24.0,0.5227272727272727,13.0,5.142857142857143,24.0,0.4696969696969697,10.0,5.142857142857143,14.555555555555555,0.6222596964586847,20
13433,2.9375,3,6.25,11,18.0,6.25,28.5,0.5730337078651685,16.0,6.25,28.5,0.48314606741573035,14.0,6.25,17.444444444444443,0.7816377171215882,23
13434,2.8125,2,5.0625,9,14.0,5.0625,24.0,0.5247524752475248,14.0,5.0625,24.0,0.5247524752475248,11.0,5.0625,14.555555555555555,0.7307973664959766,18
13435,2.75,2,5.142857142857143,10,14.0,5.142857142857143,26.25,0.467005076142132,16.0,5.142857142857143,26.25,0.5617597292724197,13.0,5.142857142857143,16.0,0.8157894736842105,20
13436,2.5,2,4.0,8,11.0,4.0,21.75,0.4507042253521127,11.0,4.0,21.75,0.4507042253521127,8.0,4.0,13.11111111111111,0.5487804878048781,14
13437,2.5625,2,4.063492063492063,10,10.0,4.063492063492063,26.25,0.312645322840279,13.0,4.063492063492063,26.25,0.44786263637989626,9.0,4.063492063492063,14.0,0.597444089456869,14
13438,2.75,3,4.063492063492063,8,12.0,4.063492063492063,21.75,0.5052726048911824,14.0,4.063492063492063,21.75,0.6183531523446264,10.0,4.063492063492063,13.11111111111111,0.7666666666666667,16
13439,2.4375,1,3.2666666666666666,8,10.0,3.2666666666666666,21.75,0.41839495040577096,13.0,3.2666666666666666,21.75,0.5807033363390443,9.0,3.2666666666666666,12.0,0.7709923664122137,12
13440,2.5,0,4.083333333333334,9,13.0,4.083333333333334,24.0,0.497907949790795,13.0,4.083333333333334,24.0,0.497907949790795,10.0,4.083333333333334,14.555555555555555,0.6604774535809018,15
13441,2.9375,4,5.890909090909092,10,18.0,5.890909090909092,26.25,0.643893726278187,14.0,5.890909090909092,26.25,0.4474212993971868,14.0,5.890909090909092,16.0,0.9010791366906474,21
13442,2.9375,1,5.890909090909092,10,17.0,5.890909090909092,26.25,0.594775619557937,14.0,5.890909090909092,26.25,0.4474212993971868,14.0,5.890909090909092,16.0,0.9010791366906474,21
13443,3.125,3,6.666666666666667,10,16.0,6.666666666666667,26.25,0.5276595744680851,14.0,6.666666666666667,26.25,0.42553191489361697,14.0,6.666666666666667,16.0,0.8928571428571428,21
